beta,n_repeats_observed,f1_mean,f1_sd,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,specificity_mean,specificity_sd,recall_mean,recall_sd,modal_n_q,modal_thr
0.1,2,0.27906976744186046,0.0,0.6383686591754111,0.0,0.5961198023878139,0.0,0.9178571428571428,0.0,0.1729106628242075,0.0,13,13
0.2,2,0.42376237623762375,0.0,0.6432145743557124,0.0,0.601322560724578,0.0,0.8178571428571428,0.0,0.30835734870317005,0.0,15,14
0.3,2,0.5904211956521739,0.03564356193209365,0.6417923153925391,0.0026840665399475647,0.6011424454508029,0.00724864506033134,0.6821428571428572,0.03535533905932741,0.5273775216138328,0.05705760770381361,12,6
0.4,2,0.6162962962962963,0.0,0.6398943937409863,0.0,0.5960168793742282,0.0,0.5714285714285714,0.0,0.5994236311239193,0.0,14,5
0.5,2,0.6394790596010981,0.019779596668675674,0.6409326219894912,0.001468276469874434,0.5973420131741458,0.00187402219180248,0.33392857142857146,0.05303300858899107,0.723342939481268,0.05298206429639836,14,3
0.6,2,0.6768149882903981,0.0,0.6313092509985336,0.0,0.5929086043639358,0.0,0.22142857142857142,0.0,0.8328530259365994,0.0,29,7
0.7,2,0.6768149882903981,0.0,0.6313092509985336,0.0,0.5929086043639358,0.0,0.22142857142857142,0.0,0.8328530259365994,0.0,29,7
0.8,2,0.7056277056277056,0.0,0.6341923419041325,0.0,0.6004116920543433,0.0,0.10357142857142858,0.0,0.9394812680115274,0.0,25,3
0.9,2,0.7058823529411765,0.0,0.6349825337497172,0.0,0.6031134211609716,0.0,0.039285714285714285,0.0,0.968299711815562,0.0,24,2
1.0,2,0.7058823529411765,0.0,0.6349825337497172,0.0,0.6031134211609716,0.0,0.039285714285714285,0.0,0.968299711815562,0.0,24,2
1.2,2,0.7058823529411765,0.0,0.6349825337497172,0.0,0.6031134211609716,0.0,0.039285714285714285,0.0,0.968299711815562,0.0,24,2
1.5,2,0.7100103199174407,0.0,0.635608843353333,0.0,0.6006844380403458,0.0,0.007142857142857143,0.0,0.9913544668587896,0.0,23,1
2.0,2,0.7100103199174407,0.0,0.635608843353333,0.0,0.6006844380403458,0.0,0.007142857142857143,0.0,0.9913544668587896,0.0,23,1
