Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,6,5,0.0,0.0,0.0,0,0,802,16,0,16,0.0,0.0,0.0,0.0
1,2,0.0,6,5,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
1,3,0.0,3,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
1,4,0.0,6,5,0.2,0.067,0.143,1,4,798,14,5,15,0.143,0.1,0.077,0.106
1,5,0.0,6,5,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
1,6,0.0,6,5,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
1,7,0.0,6,5,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
1,8,0.0,6,5,0.667,0.125,0.357,2,1,800,14,3,16,0.357,0.211,0.149,0.284
1,9,0.0,6,5,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
1,10,0.0,3,3,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
2,1,0.0,6,5,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
2,2,0.0,6,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
2,3,0.0,6,5,0.2,0.067,0.143,1,4,798,14,5,15,0.143,0.1,0.077,0.106
2,4,0.0,6,5,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
2,5,0.0,6,5,0.5,0.067,0.217,1,1,801,14,2,15,0.217,0.118,0.081,0.178
2,6,0.0,3,3,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
2,7,0.0,6,5,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
2,8,0.0,6,5,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
2,9,0.0,6,5,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
2,10,0.0,6,5,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
3,1,0.0,6,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
3,2,0.0,6,5,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
3,3,0.0,3,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
3,4,0.0,7,5,0.067,0.067,0.067,1,14,788,14,15,15,0.067,0.067,0.067,0.049
3,5,0.0,6,5,1.0,0.067,0.263,1,0,802,14,1,15,0.263,0.125,0.082,0.256
3,6,0.0,6,5,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
3,7,0.0,6,5,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
3,8,0.0,7,5,0.1,0.125,0.104,2,18,783,14,20,16,0.104,0.111,0.119,0.092
3,9,0.0,6,5,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
3,10,0.0,6,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
4,1,0.0,7,5,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
4,2,0.0,6,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
4,3,0.0,6,5,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
4,4,0.0,6,5,0.333,0.133,0.256,2,4,798,13,6,15,0.256,0.19,0.152,0.202
4,5,0.0,6,5,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
4,6,0.0,3,3,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
4,7,0.0,6,5,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
4,8,0.0,6,5,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
4,9,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
4,10,0.0,6,5,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
5,1,0.0,6,5,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
5,2,0.0,3,3,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
5,3,0.0,6,5,0.0,0.0,0.0,0,0,802,15,0,15,0.0,0.0,0.0,0.0
5,4,0.0,6,5,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
5,5,0.0,6,5,0.2,0.067,0.143,1,4,798,14,5,15,0.143,0.1,0.077,0.106
5,6,0.0,6,5,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
5,7,0.0,6,5,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
5,8,0.0,6,5,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
5,9,0.0,3,3,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
5,10,0.0,6,5,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
6,1,0.0,3,3,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
6,2,0.0,6,5,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
6,3,0.0,6,5,1.0,0.067,0.263,1,0,802,14,1,15,0.263,0.125,0.082,0.256
6,4,0.0,6,5,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
6,5,0.0,6,5,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
6,6,0.0,6,5,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
6,7,0.0,6,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
6,8,0.0,6,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
6,9,0.0,6,5,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
6,10,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
7,1,0.0,6,5,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
7,2,0.0,7,5,0.167,0.188,0.17,3,15,787,13,18,16,0.17,0.176,0.183,0.159
7,3,0.0,6,5,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
7,4,0.0,6,5,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
7,5,0.0,7,5,0.0,0.0,0.0,0,20,782,15,20,15,0.0,0.0,0.0,-0.022
7,6,0.0,7,5,0.059,0.062,0.06,1,16,785,15,17,16,0.06,0.061,0.062,0.041
7,7,0.0,6,5,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
7,8,0.0,6,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
7,9,0.0,6,5,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
