Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,3,3,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
1,2,0.0,2,2,0.0,0.0,0.0,0,10,792,16,10,16,0.0,0.0,0.0,-0.016
1,3,0.0,3,3,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
1,4,0.0,3,3,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
1,5,0.0,3,3,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
1,6,0.0,2,2,0.167,0.125,0.156,2,10,791,14,12,16,0.156,0.143,0.132,0.13
1,7,0.0,3,3,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
1,8,0.0,2,2,0.2,0.125,0.179,2,8,793,14,10,16,0.179,0.154,0.135,0.145
1,9,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
1,10,0.0,3,3,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
2,1,0.0,3,3,0.0,0.0,0.0,0,5,797,16,5,16,0.0,0.0,0.0,-0.011
2,2,0.0,2,2,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
2,3,0.0,2,2,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
2,4,0.0,2,2,0.143,0.067,0.116,1,6,796,14,7,15,0.116,0.091,0.075,0.086
2,5,0.0,2,2,0.273,0.2,0.254,3,8,794,12,11,15,0.254,0.231,0.211,0.221
2,6,0.0,3,3,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
2,7,0.0,2,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
2,8,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
2,9,0.0,3,3,0.0,0.0,0.0,0,8,793,16,8,16,0.0,0.0,0.0,-0.014
2,10,0.0,2,2,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
3,1,0.0,3,3,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
3,2,0.0,3,3,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
3,3,0.0,3,3,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
3,4,0.0,2,2,0.083,0.067,0.079,1,11,791,14,12,15,0.079,0.074,0.069,0.059
3,5,0.0,2,2,0.0,0.0,0.0,0,7,795,15,7,15,0.0,0.0,0.0,-0.013
3,6,0.0,3,3,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
3,7,0.0,2,2,0.0,0.0,0.0,0,11,790,16,11,16,0.0,0.0,0.0,-0.017
3,8,0.0,3,3,0.333,0.125,0.25,2,4,797,14,6,16,0.25,0.182,0.143,0.195
3,9,0.0,3,2,0.042,0.312,0.051,5,114,687,11,119,16,0.051,0.074,0.137,0.067
3,10,0.0,3,3,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
4,1,0.0,3,3,0.25,0.062,0.156,1,3,799,15,4,16,0.156,0.1,0.074,0.117
4,2,0.0,2,2,0.1,0.062,0.089,1,9,793,15,10,16,0.089,0.077,0.068,0.065
4,3,0.0,3,3,0.0,0.0,0.0,0,0,802,15,0,15,0.0,0.0,0.0,0.0
4,4,0.0,2,2,0.0,0.0,0.0,0,7,795,15,7,15,0.0,0.0,0.0,-0.013
4,5,0.0,3,3,0.143,0.067,0.116,1,6,796,14,7,15,0.116,0.091,0.075,0.086
4,6,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
4,7,0.0,3,3,0.4,0.125,0.278,2,3,798,14,5,16,0.278,0.19,0.145,0.215
4,8,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
4,9,0.0,2,2,0.0,0.0,0.0,0,7,794,16,7,16,0.0,0.0,0.0,-0.013
4,10,0.0,3,3,0.0,0.0,0.0,0,0,801,16,0,16,0.0,0.0,0.0,0.0
5,1,0.0,3,3,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
5,2,0.0,3,3,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
5,3,0.0,3,3,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
5,4,0.0,3,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
5,5,0.0,2,2,0.2,0.133,0.182,2,8,794,13,10,15,0.182,0.16,0.143,0.151
5,6,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
5,7,0.0,3,3,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
5,8,0.0,3,3,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
5,9,0.0,3,3,1.0,0.125,0.417,2,0,801,14,2,16,0.417,0.222,0.152,0.351
5,10,0.0,3,3,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
6,1,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
6,2,0.0,2,2,0.0,0.0,0.0,0,9,793,16,9,16,0.0,0.0,0.0,-0.015
6,3,0.0,2,2,0.2,0.133,0.182,2,8,794,13,10,15,0.182,0.16,0.143,0.151
6,4,0.0,3,3,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
6,5,0.0,3,3,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
6,6,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
6,7,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
6,8,0.0,2,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
6,9,0.0,2,2,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
6,10,0.0,2,2,0.25,0.125,0.208,2,6,795,14,8,16,0.208,0.167,0.139,0.165
7,1,0.0,3,3,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
7,2,0.0,2,2,0.286,0.125,0.227,2,5,797,14,7,16,0.227,0.174,0.141,0.179
7,3,0.0,3,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
7,4,0.0,3,3,0.143,0.067,0.116,1,6,796,14,7,15,0.116,0.091,0.075,0.086
7,5,0.0,3,3,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
7,6,0.0,2,2,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
7,7,0.0,3,3,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
7,8,0.0,3,3,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
7,9,0.0,2,2,0.0,0.0,0.0,0,12,789,16,12,16,0.0,0.0,0.0,-0.017
7,10,0.0,3,3,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
8,1,0.0,2,2,0.0,0.0,0.0,0,5,797,16,5,16,0.0,0.0,0.0,-0.011
8,2,0.0,3,3,0.0,0.0,0.0,0,0,802,16,0,16,0.0,0.0,0.0,0.0
8,3,0.0,3,3,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
8,4,0.0,3,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
8,5,0.0,3,3,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
8,6,0.0,3,3,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
8,7,0.0,3,3,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
8,8,0.0,3,3,0.0,0.0,0.0,0,7,794,16,7,16,0.0,0.0,0.0,-0.013
8,9,0.0,3,3,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
8,10,0.0,2,2,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
9,1,0.0,3,3,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
9,2,0.0,2,2,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
9,3,0.0,2,2,0.111,0.067,0.098,1,8,794,14,9,15,0.098,0.083,0.072,0.073
9,4,0.0,3,3,0.25,0.133,0.213,2,6,796,13,8,15,0.213,0.174,0.147,0.172
9,5,0.0,3,3,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
9,6,0.0,3,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
9,7,0.0,3,3,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
9,8,0.0,2,2,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
9,9,0.0,3,3,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
9,10,0.0,2,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
10,1,0.0,3,3,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
10,2,0.0,3,3,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
10,3,0.0,3,3,0.5,0.067,0.217,1,1,801,14,2,15,0.217,0.118,0.081,0.178
10,4,0.0,3,3,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
10,5,0.0,2,2,0.273,0.2,0.254,3,8,794,12,11,15,0.254,0.231,0.211,0.221
10,6,0.0,3,3,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
10,7,0.0,2,2,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
10,8,0.0,3,3,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
10,9,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
10,10,0.0,3,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
