Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,1.0,4,3,0.3,0.188,0.268,3,7,795,13,10,16,0.268,0.231,0.203,0.225
1,2,1.0,4,3,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
1,3,1.0,2,3,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
1,4,1.0,4,3,0.083,0.062,0.078,1,11,791,15,12,16,0.078,0.071,0.066,0.056
1,5,1.0,4,3,0.333,0.133,0.256,2,4,798,13,6,15,0.256,0.19,0.152,0.202
1,6,1.0,2,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
1,7,1.0,4,3,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
1,8,1.0,2,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
1,9,1.0,4,3,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
1,10,1.0,4,3,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
2,1,1.0,4,3,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
2,2,1.0,4,3,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
2,3,1.0,4,3,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
2,4,1.0,4,3,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
2,5,1.0,4,3,0.1,0.067,0.091,1,9,793,14,10,15,0.091,0.08,0.071,0.068
2,6,1.0,4,3,0.3,0.2,0.273,3,7,795,12,10,15,0.273,0.24,0.214,0.234
2,7,1.0,4,3,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
2,8,1.0,2,3,0.0,0.0,0.0,0,7,794,16,7,16,0.0,0.0,0.0,-0.013
2,9,1.0,4,3,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
2,10,1.0,4,3,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
3,1,1.0,4,3,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
3,2,1.0,4,3,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
3,3,1.0,4,3,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
3,4,1.0,4,3,0.333,0.125,0.25,2,4,798,14,6,16,0.25,0.182,0.143,0.195
3,5,1.0,4,3,0.0,0.0,0.0,0,7,795,15,7,15,0.0,0.0,0.0,-0.013
3,6,1.0,4,3,0.0,0.0,0.0,0,8,794,15,8,15,0.0,0.0,0.0,-0.014
3,7,1.0,4,3,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
3,8,1.0,4,3,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
3,9,1.0,4,3,0.167,0.125,0.156,2,10,791,14,12,16,0.156,0.143,0.132,0.13
3,10,1.0,4,3,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
4,1,1.0,4,3,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
4,2,1.0,4,3,0.25,0.125,0.208,2,6,796,14,8,16,0.208,0.167,0.139,0.165
4,3,1.0,4,3,0.667,0.125,0.357,2,1,801,14,3,16,0.357,0.211,0.149,0.284
4,4,1.0,4,3,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
4,5,1.0,2,3,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
4,6,1.0,4,3,0.3,0.2,0.273,3,7,795,12,10,15,0.273,0.24,0.214,0.234
4,7,1.0,4,3,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
4,8,1.0,4,3,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
4,9,1.0,4,3,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
4,10,1.0,4,3,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
5,1,1.0,4,3,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
5,2,1.0,4,3,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
5,3,1.0,4,3,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
5,4,1.0,4,3,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
5,5,1.0,4,3,0.2,0.133,0.182,2,8,794,13,10,15,0.182,0.16,0.143,0.151
5,6,1.0,4,3,0.167,0.133,0.159,2,10,792,13,12,15,0.159,0.148,0.139,0.135
5,7,1.0,4,3,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
5,8,1.0,4,3,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
5,9,1.0,4,3,0.286,0.125,0.227,2,5,796,14,7,16,0.227,0.174,0.141,0.179
5,10,1.0,4,3,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
6,1,1.0,4,3,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
6,2,1.0,4,3,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
6,3,1.0,4,3,0.25,0.125,0.208,2,6,796,14,8,16,0.208,0.167,0.139,0.165
6,4,1.0,4,3,0.286,0.125,0.227,2,5,797,14,7,16,0.227,0.174,0.141,0.179
6,5,1.0,4,3,0.286,0.133,0.233,2,5,797,13,7,15,0.233,0.182,0.149,0.185
6,6,1.0,4,3,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
6,7,1.0,4,3,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
6,8,1.0,4,3,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
6,9,1.0,4,3,0.0,0.0,0.0,0,10,791,16,10,16,0.0,0.0,0.0,-0.016
6,10,1.0,4,3,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
7,1,1.0,4,3,0.182,0.125,0.167,2,9,793,14,11,16,0.167,0.148,0.133,0.137
7,2,1.0,4,3,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
7,3,1.0,4,3,0.0,0.0,0.0,0,9,793,16,9,16,0.0,0.0,0.0,-0.015
7,4,1.0,4,3,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
7,5,1.0,4,3,0.091,0.067,0.085,1,10,792,14,11,15,0.085,0.077,0.07,0.063
7,6,1.0,4,3,0.333,0.2,0.294,3,6,796,12,9,15,0.294,0.25,0.217,0.248
7,7,1.0,4,3,0.2,0.125,0.179,2,8,793,14,10,16,0.179,0.154,0.135,0.145
7,8,1.0,4,3,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
7,9,1.0,4,3,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
7,10,1.0,4,3,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
8,1,1.0,4,3,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
8,2,1.0,4,3,0.1,0.062,0.089,1,9,793,15,10,16,0.089,0.077,0.068,0.065
8,3,1.0,4,3,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
8,4,1.0,4,3,0.286,0.125,0.227,2,5,797,14,7,16,0.227,0.174,0.141,0.179
8,5,1.0,4,3,0.0,0.0,0.0,0,7,795,15,7,15,0.0,0.0,0.0,-0.013
8,6,1.0,4,3,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
8,7,1.0,4,3,0.25,0.125,0.208,2,6,795,14,8,16,0.208,0.167,0.139,0.165
8,8,1.0,4,3,0.091,0.062,0.083,1,10,791,15,11,16,0.083,0.074,0.067,0.06
8,9,1.0,4,3,0.273,0.188,0.25,3,8,793,13,11,16,0.25,0.222,0.2,0.213
8,10,1.0,4,3,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
9,1,1.0,4,3,0.083,0.062,0.078,1,11,791,15,12,16,0.078,0.071,0.066,0.056
9,2,1.0,4,3,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
9,3,1.0,4,3,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
9,4,1.0,4,3,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
9,5,1.0,4,3,0.4,0.267,0.364,4,6,796,11,10,15,0.364,0.32,0.286,0.316
9,6,1.0,2,3,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
9,7,1.0,4,3,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
9,8,1.0,2,3,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
9,9,1.0,4,3,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
9,10,1.0,4,3,0.5,0.125,0.312,2,2,799,14,4,16,0.312,0.2,0.147,0.243
10,1,1.0,4,3,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
10,2,1.0,4,3,0.286,0.125,0.227,2,5,797,14,7,16,0.227,0.174,0.141,0.179
10,3,1.0,4,3,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
10,4,1.0,4,3,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
10,5,1.0,4,3,0.0,0.0,0.0,0,12,790,15,12,15,0.0,0.0,0.0,-0.017
10,6,1.0,4,3,0.1,0.067,0.091,1,9,793,14,10,15,0.091,0.08,0.071,0.068
10,7,1.0,4,3,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
10,8,1.0,4,3,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
10,9,1.0,4,3,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
10,10,1.0,4,3,0.5,0.125,0.312,2,2,799,14,4,16,0.312,0.2,0.147,0.243
