Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,11,9,0.077,0.188,0.087,3,36,766,13,39,16,0.087,0.109,0.146,0.093
1,2,0.0,13,11,0.065,0.125,0.071,2,29,773,14,31,16,0.071,0.085,0.105,0.064
1,3,0.0,11,9,0.192,0.312,0.208,5,21,781,11,26,16,0.208,0.238,0.278,0.226
1,4,0.0,11,9,0.115,0.188,0.125,3,23,779,13,26,16,0.125,0.143,0.167,0.125
1,5,0.0,14,13,0.077,0.067,0.075,1,12,790,14,13,15,0.075,0.071,0.068,0.055
1,6,0.0,13,11,0.0,0.0,0.0,0,17,785,15,17,15,0.0,0.0,0.0,-0.02
1,7,0.0,14,13,0.0,0.0,0.0,0,15,786,16,15,16,0.0,0.0,0.0,-0.019
1,8,0.0,13,11,0.179,0.312,0.195,5,23,778,11,28,16,0.195,0.227,0.272,0.216
1,9,0.0,8,8,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
1,10,0.0,11,9,0.036,0.062,0.039,1,27,774,15,28,16,0.039,0.045,0.054,0.022
2,1,0.0,13,11,0.167,0.188,0.17,3,15,787,13,18,16,0.17,0.176,0.183,0.159
2,2,0.0,13,11,0.125,0.188,0.134,3,21,781,13,24,16,0.134,0.15,0.17,0.132
2,3,0.0,11,9,0.069,0.125,0.076,2,27,775,14,29,16,0.076,0.089,0.108,0.068
2,4,0.0,13,11,0.05,0.062,0.052,1,19,783,15,20,16,0.052,0.056,0.06,0.035
2,5,0.0,10,8,0.033,0.067,0.037,1,29,773,14,30,15,0.037,0.044,0.056,0.022
2,6,0.0,11,9,0.121,0.267,0.136,4,29,773,11,33,15,0.136,0.167,0.215,0.157
2,7,0.0,11,9,0.147,0.312,0.164,5,29,772,11,34,16,0.164,0.2,0.255,0.192
2,8,0.0,11,9,0.059,0.125,0.066,2,32,769,14,34,16,0.066,0.08,0.102,0.059
2,9,0.0,11,9,0.152,0.438,0.175,7,39,762,9,46,16,0.175,0.226,0.318,0.234
2,10,0.0,11,9,0.138,0.25,0.152,4,25,776,12,29,16,0.152,0.178,0.215,0.164
3,1,0.0,11,9,0.065,0.125,0.071,2,29,773,14,31,16,0.071,0.085,0.105,0.064
3,2,0.0,12,11,0.053,0.062,0.054,1,18,784,15,19,16,0.054,0.057,0.06,0.037
3,3,0.0,11,9,0.0,0.0,0.0,0,23,779,16,23,16,0.0,0.0,0.0,-0.024
3,4,0.0,11,9,0.182,0.25,0.192,4,18,784,12,22,16,0.192,0.211,0.233,0.195
3,5,0.0,8,8,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
3,6,0.0,13,11,0.095,0.133,0.101,2,19,783,13,21,15,0.101,0.111,0.123,0.093
3,7,0.0,14,13,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
3,8,0.0,10,8,0.094,0.188,0.104,3,29,772,13,32,16,0.104,0.125,0.156,0.108
3,9,0.0,11,9,0.103,0.188,0.114,3,26,775,13,29,16,0.114,0.133,0.161,0.116
3,10,0.0,13,11,0.062,0.125,0.069,2,30,771,14,32,16,0.069,0.083,0.104,0.063
4,1,0.0,11,9,0.074,0.125,0.081,2,25,777,14,27,16,0.081,0.093,0.11,0.073
