Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos
1,1,0.0,8,6,0.182,0.125,0.167,2,9,793,14,11,16
1,2,0.0,7,5,0.056,0.062,0.057,1,17,785,15,18,16
1,3,0.0,11,8,0.062,0.062,0.062,1,15,787,15,16,16
1,4,0.0,6,4,0.143,0.2,0.152,3,18,784,12,21,15
1,5,0.0,8,6,0.071,0.067,0.07,1,13,789,14,14,15
1,6,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16
1,7,0.0,8,6,0.0,0.0,0.0,0,13,788,16,13,16
1,8,0.0,12,9,0.167,0.125,0.156,2,10,791,14,12,16
1,9,0.0,7,5,0.154,0.125,0.147,2,11,790,14,13,16
1,10,0.0,8,6,0.167,0.125,0.156,2,10,791,14,12,16
2,1,0.0,8,6,0.2,0.125,0.179,2,8,794,14,10,16
2,2,0.0,11,8,0.0,0.0,0.0,0,13,789,16,13,16
2,3,0.0,7,5,0.167,0.125,0.156,2,10,792,14,12,16
2,4,0.0,8,6,0.0,0.0,0.0,0,6,796,15,6,15
2,5,0.0,8,6,0.0,0.0,0.0,0,10,792,15,10,15
2,6,0.0,7,5,0.2,0.188,0.197,3,12,789,13,15,16
2,7,0.0,7,5,0.118,0.125,0.119,2,15,786,14,17,16
2,8,0.0,7,5,0.071,0.062,0.069,1,13,788,15,14,16
2,9,0.0,7,5,0.167,0.188,0.17,3,15,786,13,18,16
2,10,0.0,7,5,0.1,0.125,0.104,2,18,783,14,20,16
3,1,0.0,9,7,0.0,0.0,0.0,0,4,798,16,4,16
3,2,0.0,8,6,0.133,0.125,0.132,2,13,789,14,15,16
3,3,0.0,7,5,0.0,0.0,0.0,0,13,789,16,13,16
3,4,0.0,8,6,0.25,0.2,0.238,3,9,793,12,12,15
3,5,0.0,8,6,0.091,0.067,0.085,1,10,792,14,11,15
3,6,0.0,6,4,0.2,0.188,0.197,3,12,789,13,15,16
3,7,0.0,8,6,0.125,0.125,0.125,2,14,787,14,16,16
3,8,0.0,8,6,0.091,0.062,0.083,1,10,791,15,11,16
3,9,0.0,8,6,0.1,0.062,0.089,1,9,792,15,10,16
3,10,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16
4,1,0.0,8,6,0.0,0.0,0.0,0,16,786,16,16,16
4,2,0.0,7,5,0.267,0.25,0.263,4,11,791,12,15,16
4,3,0.0,8,6,0.167,0.125,0.156,2,10,792,14,12,16
4,4,0.0,11,8,0.143,0.133,0.141,2,12,790,13,14,15
4,5,0.0,8,6,0.0,0.0,0.0,0,5,797,15,5,15
4,6,0.0,6,4,0.364,0.25,0.333,4,7,794,12,11,16
4,7,0.0,8,6,0.154,0.125,0.147,2,11,790,14,13,16
4,8,0.0,11,8,0.095,0.125,0.1,2,19,782,14,21,16
4,9,0.0,8,6,0.0,0.0,0.0,0,8,793,16,8,16
4,10,0.0,7,5,0.111,0.125,0.114,2,16,785,14,18,16
5,1,0.0,7,5,0.1,0.125,0.104,2,18,784,14,20,16
5,2,0.0,9,7,0.0,0.0,0.0,0,6,796,16,6,16
5,3,0.0,8,6,0.0,0.0,0.0,0,8,794,16,8,16
5,4,0.0,8,6,0.167,0.067,0.128,1,5,797,14,6,15
5,5,0.0,7,5,0.077,0.067,0.075,1,12,790,14,13,15
5,6,0.0,8,6,0.2,0.125,0.179,2,8,793,14,10,16
5,7,0.0,7,5,0.056,0.062,0.057,1,17,784,15,18,16
5,8,0.0,7,5,0.2,0.125,0.179,2,8,793,14,10,16
5,9,0.0,7,5,0.2,0.25,0.208,4,16,785,12,20,16
5,10,0.0,7,5,0.062,0.062,0.062,1,15,786,15,16,16
6,1,0.0,7,5,0.125,0.125,0.125,2,14,788,14,16,16
6,2,0.0,8,6,0.071,0.062,0.069,1,13,789,15,14,16
6,3,0.0,11,8,0.125,0.125,0.125,2,14,788,14,16,16
6,4,0.0,8,6,0.2,0.133,0.182,2,8,794,13,10,15
6,5,0.0,8,6,0.071,0.067,0.07,1,13,789,14,14,15
6,6,0.0,11,8,0.1,0.125,0.104,2,18,783,14,20,16
6,7,0.0,8,6,0.4,0.125,0.278,2,3,798,14,5,16
6,8,0.0,8,6,0.091,0.062,0.083,1,10,791,15,11,16
6,9,0.0,9,7,0.0,0.0,0.0,0,6,795,16,6,16
6,10,0.0,8,6,0.091,0.062,0.083,1,10,791,15,11,16
7,1,0.0,8,6,0.308,0.25,0.294,4,9,793,12,13,16
7,2,0.0,8,6,0.0,0.0,0.0,0,10,792,16,10,16
7,3,0.0,8,6,0.111,0.062,0.096,1,8,794,15,9,16
7,4,0.0,7,5,0.0,0.0,0.0,0,7,795,15,7,15
7,5,0.0,7,5,0.222,0.133,0.196,2,7,795,13,9,15
7,6,0.0,8,6,0.167,0.125,0.156,2,10,791,14,12,16
7,7,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16
7,8,0.0,8,6,0.091,0.062,0.083,1,10,791,15,11,16
7,9,0.0,7,5,0.115,0.188,0.125,3,23,778,13,26,16
7,10,0.0,8,6,0.143,0.125,0.139,2,12,789,14,14,16
8,1,0.0,6,4,0.111,0.125,0.114,2,16,786,14,18,16
8,2,0.0,8,6,0.077,0.062,0.074,1,12,790,15,13,16
8,3,0.0,8,6,0.333,0.188,0.288,3,6,796,13,9,16
8,4,0.0,7,5,0.111,0.133,0.115,2,16,786,13,18,15
8,5,0.0,8,6,0.091,0.067,0.085,1,10,792,14,11,15
8,6,0.0,8,6,0.0,0.0,0.0,0,14,787,16,14,16
8,7,0.0,8,6,0.0,0.0,0.0,0,5,796,16,5,16
8,8,0.0,8,6,0.083,0.062,0.078,1,11,790,15,12,16
8,9,0.0,8,6,0.333,0.188,0.288,3,6,795,13,9,16
8,10,0.0,7,5,0.167,0.188,0.17,3,15,786,13,18,16
9,1,0.0,7,5,0.071,0.062,0.069,1,13,789,15,14,16
9,2,0.0,8,6,0.0,0.0,0.0,0,13,789,16,13,16
9,3,0.0,7,5,0.0,0.0,0.0,0,20,782,16,20,16
9,4,0.0,8,6,0.091,0.067,0.085,1,10,792,14,11,15
9,5,0.0,8,6,0.375,0.2,0.319,3,5,797,12,8,15
9,6,0.0,8,6,0.2,0.125,0.179,2,8,793,14,10,16
9,7,0.0,9,7,0.25,0.062,0.156,1,3,798,15,4,16
9,8,0.0,8,6,0.0,0.0,0.0,0,5,796,16,5,16
9,9,0.0,7,5,0.308,0.25,0.294,4,9,792,12,13,16
9,10,0.0,11,8,0.143,0.125,0.139,2,12,789,14,14,16
10,1,0.0,7,5,0.158,0.188,0.163,3,16,786,13,19,16
10,2,0.0,8,6,0.083,0.062,0.078,1,11,791,15,12,16
10,3,0.0,7,5,0.143,0.125,0.139,2,12,790,14,14,16
10,4,0.0,8,6,0.0,0.0,0.0,0,13,789,15,13,15
10,5,0.0,8,6,0.0,0.0,0.0,0,8,794,15,8,15
10,6,0.0,8,6,0.25,0.188,0.234,3,9,792,13,12,16
10,7,0.0,7,5,0.154,0.125,0.147,2,11,790,14,13,16
10,8,0.0,8,6,0.077,0.062,0.074,1,12,789,15,13,16
10,9,0.0,11,8,0.083,0.062,0.078,1,11,790,15,12,16
10,10,0.0,8,6,0.2,0.125,0.179,2,8,793,14,10,16
