Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,11,6,0.058,0.312,0.069,5,81,721,11,86,16,0.069,0.098,0.167,0.095
1,2,0.0,11,6,0.04,0.188,0.047,3,72,730,13,75,16,0.047,0.066,0.108,0.047
1,3,0.0,12,7,0.062,0.25,0.072,4,61,741,12,65,16,0.072,0.099,0.155,0.089
1,4,0.0,11,6,0.062,0.312,0.074,5,75,727,11,80,16,0.074,0.104,0.174,0.102
1,5,0.0,12,7,0.042,0.2,0.05,3,69,733,12,72,15,0.05,0.069,0.114,0.054
1,6,0.0,12,7,0.042,0.133,0.048,2,46,756,13,48,15,0.048,0.063,0.093,0.043
1,7,0.0,11,6,0.085,0.5,0.102,8,86,715,8,94,16,0.102,0.145,0.253,0.171
1,8,0.0,14,8,0.093,0.438,0.111,7,68,733,9,75,16,0.111,0.154,0.252,0.169
1,9,0.0,22,13,0.063,0.5,0.077,8,118,683,8,126,16,0.077,0.113,0.211,0.135
1,10,0.0,11,6,0.061,0.25,0.071,4,62,739,12,66,16,0.071,0.098,0.154,0.088
2,1,0.0,11,6,0.053,0.25,0.063,4,71,731,12,75,16,0.063,0.088,0.144,0.077
2,2,0.0,11,6,0.072,0.375,0.086,6,77,725,10,83,16,0.086,0.121,0.204,0.128
2,3,0.0,11,6,0.063,0.25,0.075,4,59,743,12,63,16,0.075,0.101,0.157,0.092
2,4,0.0,12,7,0.048,0.188,0.057,3,59,743,13,62,16,0.057,0.077,0.119,0.06
2,5,0.0,12,7,0.054,0.2,0.063,3,53,749,12,56,15,0.063,0.085,0.129,0.071
2,6,0.0,11,6,0.072,0.4,0.086,6,77,725,9,83,15,0.086,0.122,0.21,0.135
2,7,0.0,11,6,0.075,0.375,0.089,6,74,727,10,80,16,0.089,0.125,0.208,0.132
2,8,0.0,11,6,0.083,0.375,0.099,6,66,735,10,72,16,0.099,0.136,0.221,0.143
2,9,0.0,11,6,0.096,0.562,0.115,9,85,716,7,94,16,0.115,0.164,0.285,0.198
2,10,0.0,11,6,0.074,0.375,0.088,6,75,726,10,81,16,0.088,0.124,0.207,0.13
3,1,0.0,11,6,0.026,0.125,0.031,2,74,728,14,76,16,0.031,0.043,0.071,0.016
3,2,0.0,11,6,0.093,0.438,0.111,7,68,734,9,75,16,0.111,0.154,0.252,0.169
3,3,0.0,12,7,0.039,0.188,0.046,3,74,728,13,77,16,0.046,0.065,0.106,0.045
