Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,5,5,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
1,2,0.0,14,12,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
1,3,0.0,5,5,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
1,4,0.0,8,6,0.25,0.188,0.234,3,9,793,13,12,16,0.234,0.214,0.197,0.203
1,5,0.0,5,5,0.125,0.067,0.106,1,7,795,14,8,15,0.106,0.087,0.074,0.079
1,6,0.0,8,6,0.0,0.0,0.0,0,8,794,15,8,15,0.0,0.0,0.0,-0.014
1,7,0.0,4,4,0.0,0.0,0.0,0,8,793,16,8,16,0.0,0.0,0.0,-0.014
1,8,0.0,5,5,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
1,9,0.0,7,6,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
1,10,0.0,5,5,1.0,0.062,0.25,1,0,801,15,1,16,0.25,0.118,0.077,0.248
2,1,0.0,7,6,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
2,2,0.0,14,12,0.0,0.0,0.0,0,0,802,16,0,16,0.0,0.0,0.0,0.0
2,3,0.0,5,5,0.333,0.062,0.179,1,2,800,15,3,16,0.179,0.105,0.075,0.137
2,4,0.0,12,11,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
2,5,0.0,7,6,0.167,0.067,0.128,1,5,797,14,6,15,0.128,0.095,0.076,0.095
2,6,0.0,21,18,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
2,7,0.0,7,5,0.111,0.125,0.114,2,16,785,14,18,16,0.114,0.118,0.122,0.099
2,8,0.0,7,6,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
2,9,0.0,5,5,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
2,10,0.0,5,5,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
3,1,0.0,9,7,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
3,2,0.0,5,5,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
3,3,0.0,11,10,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
3,4,0.0,9,8,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
3,5,0.0,7,6,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
3,6,0.0,9,8,1.0,0.067,0.263,1,0,802,14,1,15,0.263,0.125,0.082,0.256
3,7,0.0,12,11,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
3,8,0.0,8,6,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
3,9,0.0,5,5,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
3,10,0.0,22,19,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
4,1,0.0,5,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
4,2,0.0,7,6,0.333,0.062,0.179,1,2,800,15,3,16,0.179,0.105,0.075,0.137
4,3,0.0,4,4,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
4,4,0.0,9,7,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
4,5,0.0,5,5,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
4,6,0.0,5,5,1.0,0.067,0.263,1,0,802,14,1,15,0.263,0.125,0.082,0.256
4,7,0.0,9,8,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
4,8,0.0,7,6,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
4,9,0.0,22,19,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
4,10,0.0,5,5,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
5,1,0.0,5,5,0.5,0.062,0.208,1,1,801,15,2,16,0.208,0.111,0.076,0.172
5,2,0.0,9,8,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
5,3,0.0,8,6,0.0,0.0,0.0,0,14,788,16,14,16,0.0,0.0,0.0,-0.019
5,4,0.0,8,6,0.071,0.062,0.069,1,13,789,15,14,16,0.069,0.067,0.064,0.049
5,5,0.0,14,12,0.5,0.067,0.217,1,1,801,14,2,15,0.217,0.118,0.081,0.178
5,6,0.0,9,7,0.167,0.067,0.128,1,5,797,14,6,15,0.128,0.095,0.076,0.095
5,7,0.0,12,10,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
5,8,0.0,5,5,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
5,9,0.0,14,12,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
5,10,0.0,6,5,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
6,1,0.0,12,11,0.5,0.062,0.208,1,1,801,15,2,16,0.208,0.111,0.076,0.172
6,2,0.0,12,11,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
6,3,0.0,12,10,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
6,4,0.0,9,8,0.0,0.0,0.0,0,0,802,16,0,16,0.0,0.0,0.0,0.0
6,5,0.0,7,6,0.167,0.067,0.128,1,5,797,14,6,15,0.128,0.095,0.076,0.095
6,6,0.0,12,11,0.0,0.0,0.0,0,0,802,15,0,15,0.0,0.0,0.0,0.0
6,7,0.0,9,7,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
6,8,0.0,5,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
6,9,0.0,7,6,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
