Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,9,8,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
1,2,0.0,4,4,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
1,3,0.0,22,19,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
1,4,0.0,22,19,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
1,5,0.0,5,5,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
1,6,0.0,8,6,0.167,0.133,0.159,2,10,792,13,12,15,0.159,0.148,0.139,0.135
1,7,0.0,13,11,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
1,8,0.0,5,5,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
1,9,0.0,9,8,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
1,10,0.0,5,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
2,1,0.0,8,6,0.2,0.125,0.179,2,8,794,14,10,16,0.179,0.154,0.135,0.145
2,2,0.0,6,5,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
2,3,0.0,7,6,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
2,4,0.0,9,8,0.0,0.0,0.0,0,0,802,16,0,16,0.0,0.0,0.0,0.0
2,5,0.0,9,7,0.125,0.067,0.106,1,7,795,14,8,15,0.106,0.087,0.074,0.079
2,6,0.0,9,8,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
2,7,0.0,8,6,0.0,0.0,0.0,0,11,790,16,11,16,0.0,0.0,0.0,-0.017
2,8,0.0,22,19,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
2,9,0.0,5,5,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
2,10,0.0,12,11,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
3,1,0.0,5,5,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
3,2,0.0,12,11,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
3,3,0.0,4,4,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
3,4,0.0,13,11,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
3,5,0.0,8,6,0.077,0.067,0.075,1,12,790,14,13,15,0.075,0.071,0.068,0.055
3,6,0.0,11,10,0.0,0.0,0.0,0,0,802,15,0,15,0.0,0.0,0.0,0.0
3,7,0.0,5,5,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
3,8,0.0,9,8,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
3,9,0.0,9,8,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
3,10,0.0,5,5,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
4,1,0.0,5,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
4,2,0.0,5,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
4,3,0.0,13,11,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
4,4,0.0,5,5,0.333,0.062,0.179,1,2,800,15,3,16,0.179,0.105,0.075,0.137
4,5,0.0,12,11,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
4,6,0.0,12,11,0.333,0.067,0.185,1,2,800,14,3,15,0.185,0.111,0.079,0.142
4,7,0.0,7,6,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
4,8,0.0,16,13,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
4,9,0.0,8,6,0.071,0.062,0.069,1,13,788,15,14,16,0.069,0.067,0.064,0.049
4,10,0.0,12,11,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
5,1,0.0,8,6,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
5,2,0.0,6,5,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
5,3,0.0,11,10,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
5,4,0.0,12,11,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
5,5,0.0,13,11,0.0,0.0,0.0,0,1,801,15,1,15,0.0,0.0,0.0,-0.005
5,6,0.0,12,10,0.25,0.067,0.161,1,3,799,14,4,15,0.161,0.105,0.078,0.121
5,7,0.0,9,7,0.286,0.125,0.227,2,5,796,14,7,16,0.227,0.174,0.141,0.179
5,8,0.0,12,11,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
5,9,0.0,12,11,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
5,10,0.0,5,5,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
6,1,0.0,9,7,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
6,2,0.0,5,5,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
6,3,0.0,5,5,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
6,4,0.0,7,6,0.5,0.062,0.208,1,1,801,15,2,16,0.208,0.111,0.076,0.172
6,5,0.0,5,5,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
6,6,0.0,5,5,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
6,7,0.0,8,6,0.1,0.062,0.089,1,9,792,15,10,16,0.089,0.077,0.068,0.065
6,8,0.0,15,13,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
