Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,9,8,0.0,0.0,0.0,0,14,788,16,14,16,0.0,0.0,0.0,-0.019
1,2,0.0,9,8,0.091,0.062,0.083,1,10,792,15,11,16,0.083,0.074,0.067,0.06
1,3,0.0,9,8,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
1,4,0.0,7,6,0.182,0.125,0.167,2,9,793,14,11,16,0.167,0.148,0.133,0.137
1,5,0.0,9,8,0.0,0.0,0.0,0,10,792,15,10,15,0.0,0.0,0.0,-0.015
1,6,0.0,10,9,0.0,0.0,0.0,0,3,799,15,3,15,0.0,0.0,0.0,-0.008
1,7,0.0,9,8,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
1,8,0.0,9,8,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
1,9,0.0,9,8,0.3,0.188,0.268,3,7,794,13,10,16,0.268,0.231,0.203,0.225
1,10,0.0,9,8,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
2,1,0.0,9,8,0.0,0.0,0.0,0,5,797,16,5,16,0.0,0.0,0.0,-0.011
2,2,0.0,10,9,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
2,3,0.0,8,7,0.143,0.125,0.139,2,12,790,14,14,16,0.139,0.133,0.128,0.117
2,4,0.0,9,8,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
2,5,0.0,9,8,0.0,0.0,0.0,0,15,787,15,15,15,0.0,0.0,0.0,-0.019
2,6,0.0,9,8,0.125,0.067,0.106,1,7,795,14,8,15,0.106,0.087,0.074,0.079
2,7,0.0,3,3,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
