Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,1,1,0.02,0.125,0.024,2,98,704,14,100,16,0.024,0.034,0.061,0.001
1,2,0.0,1,1,0.039,0.25,0.047,4,99,703,12,103,16,0.047,0.067,0.12,0.053
1,3,0.0,1,1,0.058,0.375,0.069,6,98,704,10,104,16,0.069,0.1,0.179,0.105
1,4,0.0,1,1,0.034,0.188,0.041,3,85,717,13,88,16,0.041,0.058,0.099,0.036
1,5,0.0,1,1,0.056,0.333,0.067,5,85,717,10,90,15,0.067,0.095,0.167,0.097
1,6,0.0,1,1,0.081,0.467,0.097,7,79,723,8,86,15,0.097,0.139,0.24,0.161
1,7,0.0,1,1,0.06,0.438,0.073,7,109,692,9,116,16,0.073,0.106,0.194,0.12
1,8,0.0,1,1,0.051,0.312,0.061,5,94,707,11,99,16,0.061,0.087,0.153,0.083
1,9,0.0,1,1,0.042,0.25,0.051,4,91,710,12,95,16,0.051,0.072,0.126,0.059
1,10,0.0,1,1,0.01,0.062,0.012,1,96,705,15,97,16,0.012,0.018,0.031,-0.025
2,1,0.0,1,1,0.045,0.25,0.054,4,84,718,12,88,16,0.054,0.077,0.132,0.065
2,2,0.0,1,1,0.018,0.125,0.022,2,109,693,14,111,16,0.022,0.031,0.057,-0.004
2,3,0.0,1,1,0.041,0.25,0.049,4,94,708,12,98,16,0.049,0.07,0.123,0.057
2,4,0.0,1,1,0.063,0.375,0.076,6,89,713,10,95,16,0.076,0.108,0.189,0.114
2,5,0.0,1,1,0.033,0.2,0.039,3,89,713,12,92,15,0.039,0.056,0.099,0.038
2,6,0.0,1,1,0.057,0.4,0.069,6,99,703,9,105,15,0.069,0.1,0.182,0.111
2,7,0.0,1,1,0.038,0.25,0.045,4,102,699,12,106,16,0.045,0.066,0.118,0.051
2,8,0.0,1,1,0.066,0.438,0.08,7,99,702,9,106,16,0.08,0.115,0.206,0.129
2,9,0.0,1,1,0.072,0.438,0.087,7,90,711,9,97,16,0.087,0.124,0.217,0.139
2,10,0.0,1,1,0.012,0.062,0.015,1,79,722,15,80,16,0.015,0.021,0.035,-0.017
3,1,0.0,1,1,0.038,0.188,0.045,3,76,726,13,79,16,0.045,0.063,0.105,0.043
3,2,0.0,1,1,0.051,0.25,0.061,4,74,728,12,78,16,0.061,0.085,0.141,0.074
3,3,0.0,1,1,0.051,0.375,0.061,6,112,690,10,118,16,0.061,0.09,0.165,0.093
3,4,0.0,1,1,0.031,0.188,0.038,3,93,709,13,96,16,0.037,0.054,0.094,0.031
3,5,0.0,1,1,0.032,0.2,0.039,3,90,712,12,93,15,0.039,0.056,0.098,0.037
3,6,0.0,1,1,0.049,0.333,0.059,5,98,704,10,103,15,0.059,0.085,0.153,0.085
3,7,0.0,1,1,0.051,0.312,0.061,5,94,707,11,99,16,0.061,0.087,0.153,0.083
3,8,0.0,1,1,0.021,0.125,0.026,2,92,709,14,94,16,0.026,0.036,0.063,0.004
3,9,0.0,1,1,0.066,0.438,0.08,7,99,702,9,106,16,0.08,0.115,0.206,0.129
3,10,0.0,1,1,0.054,0.375,0.065,6,106,695,10,112,16,0.065,0.094,0.17,0.098
4,1,0.0,1,1,0.047,0.312,0.056,5,102,700,11,107,16,0.056,0.081,0.146,0.076
4,2,0.0,1,1,0.065,0.438,0.078,7,101,701,9,108,16,0.078,0.113,0.203,0.127
4,3,0.0,1,1,0.02,0.125,0.025,2,96,706,14,98,16,0.025,0.035,0.062,0.002
4,4,0.0,1,1,0.043,0.25,0.052,4,89,713,12,93,16,0.052,0.073,0.127,0.061
4,5,0.0,1,1,0.043,0.267,0.052,4,88,714,11,92,15,0.052,0.075,0.132,0.067
4,6,0.0,1,1,0.02,0.133,0.024,2,97,705,13,99,15,0.024,0.035,0.063,0.005
4,7,0.0,1,1,0.075,0.5,0.09,8,99,702,8,107,16,0.09,0.13,0.234,0.155
4,8,0.0,1,1,0.032,0.188,0.039,3,90,711,13,93,16,0.039,0.055,0.096,0.033
4,9,0.0,1,1,0.057,0.312,0.068,5,83,718,11,88,16,0.068,0.096,0.164,0.093
4,10,0.0,1,1,0.043,0.25,0.052,4,89,712,12,93,16,0.052,0.073,0.127,0.061
5,1,0.0,1,1,0.032,0.188,0.039,3,90,712,13,93,16,0.039,0.055,0.096,0.033
5,2,0.0,1,1,0.07,0.438,0.084,7,93,709,9,100,16,0.084,0.121,0.213,0.136
5,3,0.0,1,1,0.027,0.188,0.033,3,107,695,13,110,16,0.033,0.048,0.086,0.022
5,4,0.0,1,1,0.044,0.25,0.053,4,86,716,12,90,16,0.053,0.075,0.13,0.063
5,5,0.0,1,1,0.045,0.267,0.054,4,85,717,11,89,15,0.054,0.077,0.134,0.069
5,6,0.0,1,1,0.077,0.533,0.093,8,96,706,7,104,15,0.093,0.134,0.244,0.167
5,7,0.0,1,1,0.021,0.125,0.025,2,95,706,14,97,16,0.025,0.035,0.062,0.003
5,8,0.0,1,1,0.04,0.25,0.049,4,95,706,12,99,16,0.049,0.07,0.123,0.056
5,9,0.0,1,1,0.075,0.5,0.09,8,99,702,8,107,16,0.09,0.13,0.234,0.155
5,10,0.0,1,1,0.011,0.062,0.013,1,88,713,15,89,16,0.013,0.019,0.033,-0.021
6,1,0.0,1,1,0.056,0.312,0.067,5,84,718,11,89,16,0.067,0.095,0.163,0.092
6,2,0.0,1,1,0.056,0.312,0.066,5,85,717,11,90,16,0.066,0.094,0.162,0.091
6,3,0.0,1,1,0.03,0.188,0.036,3,96,706,13,99,16,0.036,0.052,0.092,0.029
6,4,0.0,1,1,0.041,0.25,0.049,4,94,708,12,98,16,0.049,0.07,0.123,0.057
6,5,0.0,1,1,0.062,0.467,0.076,7,105,697,8,112,15,0.076,0.11,0.203,0.131
6,6,0.0,1,1,0.05,0.333,0.06,5,95,707,10,100,15,0.06,0.087,0.156,0.088
6,7,0.0,1,1,0.02,0.125,0.024,2,97,704,14,99,16,0.024,0.035,0.061,0.002
6,8,0.0,1,1,0.054,0.312,0.064,5,88,713,11,93,16,0.064,0.092,0.159,0.088
6,9,0.0,1,1,0.056,0.312,0.067,5,84,717,11,89,16,0.067,0.095,0.163,0.092
6,10,0.0,1,1,0.028,0.188,0.033,3,106,695,13,109,16,0.033,0.048,0.087,0.022
7,1,0.0,1,1,0.042,0.25,0.051,4,91,711,12,95,16,0.051,0.072,0.126,0.059
7,2,0.0,1,1,0.039,0.25,0.047,4,99,703,12,103,16,0.047,0.067,0.12,0.053
7,3,0.0,1,1,0.043,0.25,0.052,4,89,713,12,93,16,0.052,0.073,0.127,0.061
7,4,0.0,1,1,0.044,0.312,0.053,5,108,694,11,113,16,0.053,0.078,0.141,0.071
7,5,0.0,1,1,0.051,0.333,0.061,5,94,708,10,99,15,0.061,0.088,0.157,0.089
7,6,0.0,1,1,0.035,0.2,0.042,3,83,719,12,86,15,0.042,0.059,0.103,0.042
7,7,0.0,1,1,0.051,0.312,0.061,5,94,707,11,99,16,0.061,0.087,0.153,0.083
7,8,0.0,1,1,0.047,0.25,0.056,4,82,719,12,86,16,0.056,0.078,0.133,0.067
7,9,0.0,1,1,0.062,0.438,0.075,7,106,695,9,113,16,0.075,0.109,0.198,0.122
7,10,0.0,1,1,0.033,0.188,0.039,3,88,713,13,91,16,0.039,0.056,0.097,0.034
8,1,0.0,1,1,0.064,0.438,0.077,7,102,700,9,109,16,0.077,0.112,0.202,0.126
8,2,0.0,1,1,0.034,0.188,0.041,3,84,718,13,87,16,0.041,0.058,0.099,0.037
8,3,0.0,1,1,0.019,0.125,0.023,2,101,701,14,103,16,0.023,0.034,0.06,-0.0
8,4,0.0,1,1,0.072,0.438,0.087,7,90,712,9,97,16,0.087,0.124,0.217,0.139
8,5,0.0,1,1,0.042,0.267,0.05,4,92,710,11,96,15,0.05,0.072,0.128,0.063
8,6,0.0,1,1,0.03,0.2,0.036,3,97,705,12,100,15,0.036,0.052,0.094,0.032
8,7,0.0,1,1,0.068,0.438,0.082,7,96,705,9,103,16,0.082,0.118,0.21,0.133
8,8,0.0,1,1,0.042,0.25,0.051,4,91,710,12,95,16,0.051,0.072,0.126,0.059
8,9,0.0,1,1,0.02,0.125,0.024,2,97,704,14,99,16,0.024,0.035,0.061,0.002
8,10,0.0,1,1,0.056,0.312,0.067,5,84,717,11,89,16,0.067,0.095,0.163,0.092
9,1,0.0,1,1,0.058,0.375,0.07,6,97,705,10,103,16,0.07,0.101,0.18,0.106
9,2,0.0,1,1,0.017,0.125,0.021,2,113,689,14,115,16,0.021,0.031,0.056,-0.006
9,3,0.0,1,1,0.053,0.25,0.062,4,72,730,12,76,16,0.062,0.087,0.143,0.076
9,4,0.0,1,1,0.053,0.312,0.063,5,90,712,11,95,16,0.063,0.09,0.157,0.087
9,5,0.0,1,1,0.028,0.2,0.034,3,104,698,12,107,15,0.034,0.049,0.09,0.028
9,6,0.0,1,1,0.058,0.333,0.07,5,81,721,10,86,15,0.07,0.099,0.171,0.102
9,7,0.0,1,1,0.051,0.312,0.061,5,93,708,11,98,16,0.061,0.088,0.154,0.084
9,8,0.0,1,1,0.053,0.312,0.064,5,89,712,11,94,16,0.064,0.091,0.158,0.087
9,9,0.0,1,1,0.05,0.312,0.06,5,96,705,11,101,16,0.06,0.085,0.152,0.081
9,10,0.0,1,1,0.039,0.25,0.047,4,99,702,12,103,16,0.047,0.067,0.12,0.053
10,1,0.0,1,1,0.034,0.25,0.041,4,115,687,12,119,16,0.041,0.059,0.109,0.042
10,2,0.0,1,1,0.04,0.25,0.048,4,96,706,12,100,16,0.048,0.069,0.122,0.055
10,3,0.0,1,1,0.02,0.125,0.024,2,98,704,14,100,16,0.024,0.034,0.061,0.001
10,4,0.0,1,1,0.033,0.188,0.04,3,87,715,13,90,16,0.04,0.057,0.097,0.035
10,5,0.0,1,1,0.048,0.333,0.057,5,100,702,10,105,15,0.057,0.083,0.152,0.084
10,6,0.0,1,1,0.054,0.267,0.064,4,70,732,11,74,15,0.064,0.09,0.149,0.084
10,7,0.0,1,1,0.05,0.312,0.06,5,95,706,11,100,16,0.06,0.086,0.152,0.082
10,8,0.0,1,1,0.079,0.438,0.094,7,82,719,9,89,16,0.094,0.133,0.229,0.149
10,9,0.0,1,1,0.065,0.438,0.078,7,101,700,9,108,16,0.078,0.113,0.203,0.127
10,10,0.0,1,1,0.032,0.188,0.039,3,90,711,13,93,16,0.039,0.055,0.096,0.033
