Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,11,9,0.5,0.188,0.375,3,3,799,13,6,16,0.375,0.273,0.214,0.298
1,2,0.0,15,13,0.333,0.062,0.179,1,2,800,15,3,16,0.179,0.105,0.075,0.137
1,3,0.0,11,9,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
1,4,0.0,15,13,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
1,5,0.0,17,13,0.167,0.133,0.159,2,10,792,13,12,15,0.159,0.148,0.139,0.135
1,6,0.0,7,5,0.125,0.067,0.106,1,7,795,14,8,15,0.106,0.087,0.074,0.079
1,7,0.0,11,9,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
1,8,0.0,11,9,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
1,9,0.0,11,9,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
1,10,0.0,14,12,0.0,0.0,0.0,0,2,799,16,2,16,0.0,0.0,0.0,-0.007
2,1,0.0,11,9,0.5,0.062,0.208,1,1,801,15,2,16,0.208,0.111,0.076,0.172
2,2,0.0,12,10,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
2,3,0.0,11,9,0.25,0.062,0.156,1,3,799,15,4,16,0.156,0.1,0.074,0.117
2,4,0.0,15,13,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
2,5,0.0,11,9,0.167,0.067,0.128,1,5,797,14,6,15,0.128,0.095,0.076,0.095
2,6,0.0,39,29,0.143,0.133,0.141,2,12,790,13,14,15,0.141,0.138,0.135,0.122
2,7,0.0,11,9,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
2,8,0.0,11,9,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
2,9,0.0,11,9,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
2,10,0.0,11,9,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
3,1,0.0,11,9,0.5,0.062,0.208,1,1,801,15,2,16,0.208,0.111,0.076,0.172
3,2,0.0,11,9,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
3,3,0.0,11,9,0.0,0.0,0.0,0,1,801,16,1,16,0.0,0.0,0.0,-0.005
3,4,0.0,15,13,0.429,0.188,0.341,3,4,798,13,7,16,0.341,0.261,0.211,0.274
3,5,0.0,15,13,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
3,6,0.0,11,9,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
3,7,0.0,14,12,0.333,0.125,0.25,2,4,797,14,6,16,0.25,0.182,0.143,0.195
3,8,0.0,15,13,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
3,9,0.0,15,13,0.222,0.125,0.192,2,7,794,14,9,16,0.192,0.16,0.137,0.154
3,10,0.0,14,12,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
4,1,0.0,11,9,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
4,2,0.0,15,13,0.222,0.125,0.192,2,7,795,14,9,16,0.192,0.16,0.137,0.154
4,3,0.0,11,9,0.667,0.125,0.357,2,1,801,14,3,16,0.357,0.211,0.149,0.284
4,4,0.0,11,9,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
4,5,0.0,15,13,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
4,6,0.0,17,13,0.375,0.2,0.319,3,5,797,12,8,15,0.319,0.261,0.221,0.264
4,7,0.0,15,13,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
