Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,2,2,0.429,0.188,0.341,3,4,798,13,7,16,0.341,0.261,0.211,0.274
1,2,0.0,2,2,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
1,3,0.0,2,2,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
1,4,0.0,2,2,0.111,0.062,0.096,1,8,794,15,9,16,0.096,0.08,0.068,0.07
1,5,0.0,2,2,0.4,0.133,0.286,2,3,799,13,5,15,0.286,0.2,0.154,0.223
1,6,0.0,2,2,0.0,0.0,0.0,0,5,797,15,5,15,0.0,0.0,0.0,-0.011
1,7,0.0,1,1,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
1,8,0.0,2,2,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
1,9,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
1,10,0.0,2,2,0.0,0.0,0.0,0,8,793,16,8,16,0.0,0.0,0.0,-0.014
2,1,0.0,2,2,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
2,2,0.0,2,2,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
2,3,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
2,4,0.0,2,2,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
2,5,0.0,2,2,0.125,0.067,0.106,1,7,795,14,8,15,0.106,0.087,0.074,0.079
2,6,0.0,2,2,0.429,0.2,0.349,3,4,798,12,7,15,0.349,0.273,0.224,0.284
2,7,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
2,8,0.0,2,2,0.0,0.0,0.0,0,7,794,16,7,16,0.0,0.0,0.0,-0.013
2,9,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
2,10,0.0,2,2,0.25,0.062,0.156,1,3,798,15,4,16,0.156,0.1,0.074,0.117
3,1,0.0,2,2,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
3,2,0.0,2,2,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
3,3,0.0,2,2,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
3,4,0.0,2,2,0.4,0.125,0.278,2,3,799,14,5,16,0.278,0.19,0.145,0.215
3,5,0.0,2,2,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
3,6,0.0,2,2,0.0,0.0,0.0,0,7,795,15,7,15,0.0,0.0,0.0,-0.013
3,7,0.0,2,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
3,8,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
3,9,0.0,2,2,0.182,0.125,0.167,2,9,792,14,11,16,0.167,0.148,0.133,0.137
3,10,0.0,2,2,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
4,1,0.0,2,2,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
4,2,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
4,3,0.0,2,2,0.667,0.125,0.357,2,1,801,14,3,16,0.357,0.211,0.149,0.284
4,4,0.0,2,2,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
4,5,0.0,2,2,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
4,6,0.0,3,3,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
4,7,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
4,8,0.0,2,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
4,9,0.0,2,2,0.143,0.062,0.114,1,6,795,15,7,16,0.114,0.087,0.07,0.083
4,10,0.0,2,2,0.0,0.0,0.0,0,5,796,16,5,16,0.0,0.0,0.0,-0.011
5,1,0.0,2,2,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
5,2,0.0,2,2,0.0,0.0,0.0,0,5,797,16,5,16,0.0,0.0,0.0,-0.011
5,3,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
5,4,0.0,2,2,0.2,0.062,0.139,1,4,798,15,5,16,0.139,0.095,0.072,0.102
5,5,0.0,2,2,0.25,0.133,0.213,2,6,796,13,8,15,0.213,0.174,0.147,0.172
5,6,0.0,2,2,0.182,0.133,0.169,2,9,793,13,11,15,0.169,0.154,0.141,0.142
5,7,0.0,2,2,0.0,0.0,0.0,0,3,798,16,3,16,0.0,0.0,0.0,-0.009
5,8,0.0,2,2,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
5,9,0.0,2,2,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
5,10,0.0,2,2,0.2,0.062,0.139,1,4,797,15,5,16,0.139,0.095,0.072,0.102
6,1,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
6,2,0.0,2,2,0.0,0.0,0.0,0,4,798,16,4,16,0.0,0.0,0.0,-0.01
6,3,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
6,4,0.0,2,2,0.286,0.125,0.227,2,5,797,14,7,16,0.227,0.174,0.141,0.179
6,5,0.0,1,1,0.286,0.133,0.233,2,5,797,13,7,15,0.233,0.182,0.149,0.185
6,6,0.0,2,2,0.0,0.0,0.0,0,4,798,15,4,15,0.0,0.0,0.0,-0.01
6,7,0.0,2,2,0.167,0.062,0.125,1,5,796,15,6,16,0.125,0.091,0.071,0.091
6,8,0.0,2,2,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
6,9,0.0,2,2,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
6,10,0.0,2,2,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
7,1,0.0,2,2,0.182,0.125,0.167,2,9,793,14,11,16,0.167,0.148,0.133,0.137
7,2,0.0,2,2,0.0,0.0,0.0,0,2,800,16,2,16,0.0,0.0,0.0,-0.007
7,3,0.0,2,2,0.0,0.0,0.0,0,6,796,16,6,16,0.0,0.0,0.0,-0.012
7,4,0.0,2,2,0.25,0.062,0.156,1,3,799,15,4,16,0.156,0.1,0.074,0.117
7,5,0.0,2,2,0.111,0.067,0.098,1,8,794,14,9,15,0.098,0.083,0.072,0.073
7,6,0.0,2,2,0.375,0.2,0.319,3,5,797,12,8,15,0.319,0.261,0.221,0.264
7,7,0.0,2,2,0.111,0.062,0.096,1,8,793,15,9,16,0.096,0.08,0.068,0.07
7,8,0.0,2,2,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
7,9,0.0,2,2,0.5,0.062,0.208,1,1,800,15,2,16,0.208,0.111,0.076,0.172
7,10,0.0,2,2,0.0,0.0,0.0,0,6,795,16,6,16,0.0,0.0,0.0,-0.012
8,1,0.0,2,2,0.0,0.0,0.0,0,3,799,16,3,16,0.0,0.0,0.0,-0.009
8,2,0.0,2,2,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
8,3,0.0,2,2,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
8,4,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
8,5,0.0,2,2,0.0,0.0,0.0,0,7,795,15,7,15,0.0,0.0,0.0,-0.013
8,6,0.0,2,2,0.0,0.0,0.0,0,2,800,15,2,15,0.0,0.0,0.0,-0.007
8,7,0.0,1,1,0.167,0.125,0.156,2,10,791,14,12,16,0.156,0.143,0.132,0.13
8,8,0.0,2,2,0.125,0.062,0.104,1,7,794,15,8,16,0.104,0.083,0.069,0.076
8,9,0.0,2,2,0.3,0.188,0.268,3,7,794,13,10,16,0.268,0.231,0.203,0.225
8,10,0.0,2,2,0.0,0.0,0.0,0,4,797,16,4,16,0.0,0.0,0.0,-0.01
9,1,0.0,2,2,0.1,0.062,0.089,1,9,793,15,10,16,0.089,0.077,0.068,0.065
9,2,0.0,2,2,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
9,3,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
9,4,0.0,2,2,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
9,5,0.0,4,3,0.154,0.4,0.175,6,33,769,9,39,15,0.175,0.222,0.303,0.226
9,6,0.0,2,2,0.0,0.0,0.0,0,6,796,15,6,15,0.0,0.0,0.0,-0.012
9,7,0.0,2,2,0.0,0.0,0.0,0,1,800,16,1,16,0.0,0.0,0.0,-0.005
9,8,0.0,2,2,0.0,0.0,0.0,0,9,792,16,9,16,0.0,0.0,0.0,-0.015
9,9,0.0,2,2,0.286,0.125,0.227,2,5,796,14,7,16,0.227,0.174,0.141,0.179
9,10,0.0,2,2,0.333,0.062,0.179,1,2,799,15,3,16,0.179,0.105,0.075,0.137
10,1,0.0,2,2,0.167,0.062,0.125,1,5,797,15,6,16,0.125,0.091,0.071,0.091
10,2,0.0,2,2,0.333,0.125,0.25,2,4,798,14,6,16,0.25,0.182,0.143,0.195
10,3,0.0,2,2,0.143,0.062,0.114,1,6,796,15,7,16,0.114,0.087,0.07,0.083
10,4,0.0,2,2,0.333,0.062,0.179,1,2,800,15,3,16,0.179,0.105,0.075,0.137
10,5,0.0,2,2,0.0,0.0,0.0,0,10,792,15,10,15,0.0,0.0,0.0,-0.015
10,6,0.0,2,2,0.111,0.067,0.098,1,8,794,14,9,15,0.098,0.083,0.072,0.073
