variant,repeat,fold,k_opt,t_opt,inner_f05,precision,recall,f0_5,f1,tp,fp,tn,fn,pred_pos,actual_pos,rank_metric,diversity_metric,diversity_max_similarity
uniform_rank_f05,1,1,7,5,0.1302,0.1111,0.125,0.1136,0.1176,2,16,786,14,18,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,1,7,5,0.1302,0.1111,0.125,0.1136,0.1176,2,16,786,14,18,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,1,7,5,0.1302,0.1111,0.125,0.1136,0.1176,2,16,786,14,18,16,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,1,7,5,0.1302,0.1111,0.125,0.1136,0.1176,2,16,786,14,18,16,f0_5,phi,0.7
uniform_rank_precision,1,1,7,5,0.1302,0.1111,0.125,0.1136,0.1176,2,16,786,14,18,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,1,7,5,0.1302,0.1111,0.125,0.1136,0.1176,2,16,786,14,18,16,precision,hamming,0.85
uniform_rank_f05,1,2,11,8,0.1257,0.1053,0.125,0.1087,0.1143,2,17,785,14,19,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,2,11,8,0.1257,0.1053,0.125,0.1087,0.1143,2,17,785,14,19,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,2,11,8,0.1257,0.1053,0.125,0.1087,0.1143,2,17,785,14,19,16,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,2,11,8,0.1257,0.1053,0.125,0.1087,0.1143,2,17,785,14,19,16,f0_5,phi,0.7
uniform_rank_precision,1,2,8,6,0.1334,0.0833,0.0625,0.0781,0.0714,1,11,791,15,12,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,2,8,6,0.1334,0.0833,0.0625,0.0781,0.0714,1,11,791,15,12,16,precision,hamming,0.85
uniform_rank_f05,1,3,11,8,0.1204,0.0769,0.0625,0.0735,0.069,1,12,790,15,13,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,3,11,8,0.1204,0.0769,0.0625,0.0735,0.069,1,12,790,15,13,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,3,11,8,0.1204,0.0769,0.0625,0.0735,0.069,1,12,790,15,13,16,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,3,11,8,0.1204,0.0769,0.0625,0.0735,0.069,1,12,790,15,13,16,f0_5,phi,0.7
uniform_rank_precision,1,3,8,6,0.1341,0.1667,0.0625,0.125,0.0909,1,5,797,15,6,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,3,8,6,0.1341,0.1667,0.0625,0.125,0.0909,1,5,797,15,6,16,precision,hamming,0.85
uniform_rank_f05,1,4,8,6,0.1206,0.25,0.1875,0.2344,0.2143,3,9,793,13,12,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,4,8,6,0.1206,0.25,0.1875,0.2344,0.2143,3,9,793,13,12,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,4,8,6,0.1206,0.25,0.1875,0.2344,0.2143,3,9,793,13,12,16,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,4,8,6,0.1206,0.25,0.1875,0.2344,0.2143,3,9,793,13,12,16,f0_5,phi,0.7
uniform_rank_precision,1,4,7,5,0.1209,0.1875,0.1875,0.1875,0.1875,3,13,789,13,16,16,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,4,7,5,0.1209,0.1875,0.1875,0.1875,0.1875,3,13,789,13,16,16,precision,hamming,0.85
uniform_rank_f05,1,5,7,5,0.1385,0.0952,0.1333,0.101,0.1111,2,19,783,13,21,15,f0_5,none,1.0
uniform_divgreedy_hamming085,1,5,7,5,0.1385,0.0952,0.1333,0.101,0.1111,2,19,783,13,21,15,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,5,7,5,0.1385,0.0952,0.1333,0.101,0.1111,2,19,783,13,21,15,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,5,7,5,0.1385,0.0952,0.1333,0.101,0.1111,2,19,783,13,21,15,f0_5,phi,0.7
uniform_rank_precision,1,5,7,5,0.1385,0.0952,0.1333,0.101,0.1111,2,19,783,13,21,15,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,5,7,5,0.1385,0.0952,0.1333,0.101,0.1111,2,19,783,13,21,15,precision,hamming,0.85
uniform_rank_f05,1,6,8,6,0.1455,0.0,0.0,0.0,0.0,0,8,794,15,8,15,f0_5,none,1.0
uniform_divgreedy_hamming085,1,6,8,6,0.1455,0.0,0.0,0.0,0.0,0,8,794,15,8,15,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,6,8,6,0.1455,0.0,0.0,0.0,0.0,0,8,794,15,8,15,f0_5,jaccard,0.85
uniform_divgreedy_phi070,1,6,8,6,0.1455,0.0,0.0,0.0,0.0,0,8,794,15,8,15,f0_5,phi,0.7
uniform_rank_precision,1,6,8,6,0.1455,0.0,0.0,0.0,0.0,0,8,794,15,8,15,precision,none,1.0
uniform_divgreedy_precision_hamming085,1,6,8,6,0.1455,0.0,0.0,0.0,0.0,0,8,794,15,8,15,precision,hamming,0.85
uniform_rank_f05,1,7,8,6,0.1611,0.0,0.0,0.0,0.0,0,17,784,16,17,16,f0_5,none,1.0
uniform_divgreedy_hamming085,1,7,8,6,0.1611,0.0,0.0,0.0,0.0,0,17,784,16,17,16,f0_5,hamming,0.85
uniform_divgreedy_jaccard085,1,7,8,6,0.1611,0.0,0.0,0.0,0.0,0,17,784,16,17,16,f0_5,jaccard,0.85
