Num_Questions,Score_Threshold,Precision_Rate,Recall,F0.5,Predicted_Successful_Founders
1,1,0.023816,0.563291,0.029458,3741
2,1,0.022129,0.905063,0.027494,6467
2,2,0.02802,0.386076,0.034401,2181
3,1,0.022005,0.955696,0.027349,6867
3,2,0.026737,0.64557,0.033078,3819
3,3,0.034965,0.253165,0.042248,1148
4,1,0.021303,0.968354,0.026483,7187
4,2,0.027495,0.803797,0.034077,4624
4,3,0.034277,0.436709,0.042022,2017
4,4,0.04,0.113924,0.045965,454
5,1,0.020642,0.981013,0.025667,7514
5,2,0.025372,0.886076,0.031489,5523
5,3,0.032605,0.613924,0.040222,2979
5,4,0.04141,0.297468,0.050021,1139
5,5,0.043478,0.056962,0.045639,211
6,1,0.020352,0.981013,0.025309,7621
6,2,0.024346,0.924051,0.030233,6002
6,3,0.030199,0.721519,0.037357,3780
6,4,0.038331,0.5,0.047013,2065
6,5,0.049941,0.265823,0.059625,845
6,6,0.037736,0.037975,0.037783,163
7,1,0.020177,0.981013,0.025092,7687
7,2,0.023697,0.955696,0.029439,6377
7,3,0.028431,0.803797,0.035227,4472
7,4,0.036604,0.613924,0.045083,2654
7,5,0.045652,0.398734,0.055477,1384
7,6,0.059846,0.196203,0.069507,522
7,7,0.031579,0.018987,0.027881,99
8,1,0.02018,0.981013,0.025096,7686
8,2,0.023645,0.955696,0.029375,6391
8,3,0.028076,0.810127,0.034794,4564
8,4,0.036001,0.651899,0.044389,2866
8,5,0.042012,0.449367,0.051315,1694
8,6,0.055831,0.28481,0.066529,810
8,7,0.07037,0.120253,0.076737,274
8,8,0.02,0.006329,0.013966,54
9,1,0.019813,0.993671,0.024644,7929
9,2,0.021271,0.974684,0.026444,7245
9,3,0.025271,0.943038,0.031379,5901
9,4,0.029597,0.772152,0.036645,4127
9,5,0.038117,0.620253,0.046926,2576
9,6,0.04607,0.43038,0.056087,1480
9,7,0.057389,0.253165,0.067889,701
9,8,0.065217,0.094937,0.069573,234
9,9,0.02381,0.006329,0.015337,46
10,1,0.019743,0.993671,0.024557,7957
10,2,0.020819,0.974684,0.025886,7402
10,3,0.024068,0.955696,0.029896,6279
10,4,0.026609,0.816456,0.032992,4853
10,5,0.032373,0.689873,0.039997,3372
10,6,0.040665,0.556962,0.049921,2168
10,7,0.048544,0.379747,0.0588,1240
10,8,0.061644,0.227848,0.072173,588
10,9,0.064356,0.082278,0.067288,206
10,10,0.028571,0.006329,0.016779,39
11,1,0.019748,0.993671,0.024563,7955
11,2,0.020666,0.974684,0.025696,7457
11,3,0.023421,0.962025,0.029099,6495
11,4,0.025933,0.879747,0.032179,5365
11,5,0.029201,0.746835,0.036148,4046
11,6,0.03574,0.632911,0.044053,2803
11,7,0.042254,0.474684,0.051667,1779
11,8,0.050534,0.329114,0.060833,1033
11,9,0.062136,0.202532,0.072137,519
11,10,0.057895,0.06962,0.059913,194
11,11,0.028571,0.006329,0.016779,39
12,1,0.019854,1.0,0.024695,7963
12,2,0.020522,0.974684,0.025519,7509
12,3,0.022902,0.962025,0.028458,6642
12,4,0.02528,0.898734,0.03138,5622
12,5,0.028584,0.797468,0.035413,4413
12,6,0.032515,0.670886,0.040158,3265
12,7,0.039106,0.575949,0.048067,2331
12,8,0.043591,0.424051,0.053124,1541
12,9,0.049409,0.291139,0.059248,935
12,10,0.064777,0.202532,0.074977,498
12,11,0.058824,0.06962,0.060706,191
12,12,0.028571,0.006329,0.016779,39
13,1,0.019824,1.0,0.024658,7975
13,2,0.020557,0.981013,0.025562,7545
13,3,0.022612,0.962025,0.0281,6727
13,4,0.024666,0.898734,0.030622,5762
13,5,0.027664,0.810127,0.034287,4632
13,6,0.031393,0.696203,0.038803,3509
13,7,0.037322,0.613924,0.045954,2604
13,8,0.041511,0.493671,0.050821,1883
13,9,0.04549,0.367089,0.055154,1279
13,10,0.057366,0.278481,0.068196,771
13,11,0.056373,0.14557,0.064246,412
13,12,0.058824,0.056962,0.058442,157
13,13,0.033333,0.006329,0.017986,34
14,1,0.019752,1.0,0.024569,8004
14,2,0.020269,0.981013,0.025207,7652
14,3,0.02228,0.974684,0.027692,6917
14,4,0.024716,0.936709,0.030693,5993
14,5,0.026531,0.822785,0.032898,4905
14,6,0.031126,0.746835,0.038507,3796
14,7,0.035298,0.632911,0.043516,2838
14,8,0.041326,0.544304,0.050696,2085
14,9,0.043568,0.398734,0.053012,1450
14,10,0.049251,0.291139,0.059065,938
14,11,0.057301,0.196203,0.066753,545
14,12,0.053061,0.082278,0.057118,249
14,13,0.042254,0.018987,0.033937,75
14,14,0.0,0.0,0.0,12
15,1,0.019706,1.0,0.024511,8023
15,2,0.020088,0.981013,0.024982,7721
15,3,0.021548,0.974684,0.026786,7152
15,4,0.023922,0.962025,0.029718,6359
15,5,0.025172,0.85443,0.031236,5368
15,6,0.028604,0.78481,0.035433,4340
15,7,0.032977,0.702532,0.040743,3371
15,8,0.037236,0.613924,0.04585,2610
15,9,0.041047,0.506329,0.050289,1953
15,10,0.04246,0.367089,0.051583,1370
15,11,0.050223,0.28481,0.060128,900
15,12,0.053743,0.177215,0.062444,525
15,13,0.053942,0.082278,0.057932,245
15,14,0.042254,0.018987,0.033937,75
15,15,0.0,0.0,0.0,12
16,1,0.01972,1.0,0.02453,8017
16,2,0.020099,0.981013,0.024995,7717
16,3,0.021557,0.974684,0.026798,7149
16,4,0.023933,0.962025,0.029732,6356
16,5,0.025172,0.85443,0.031236,5368
16,6,0.028506,0.78481,0.035312,4355
16,7,0.032532,0.702532,0.0402,3417
16,8,0.037341,0.632911,0.045998,2683
16,9,0.04,0.525316,0.049066,2079
16,10,0.040558,0.405063,0.049459,1582
16,11,0.045936,0.329114,0.055484,1136
16,12,0.051144,0.240506,0.060703,747
16,13,0.05467,0.151899,0.062696,443
16,14,0.0553,0.075949,0.05848,221
16,15,0.05,0.018987,0.037688,64
16,16,0.0,0.0,0.0,11
17,1,0.019681,1.0,0.024481,8033
17,2,0.020034,0.981013,0.024915,7742
17,3,0.021315,0.974684,0.026499,7230
17,4,0.023428,0.962025,0.029108,6493
17,5,0.024443,0.860759,0.030338,5569
17,6,0.027198,0.791139,0.033707,4601
17,7,0.030864,0.727848,0.038176,3731
