Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,7,5,0.071,0.062,0.069,1,13,789,15,14,16,0.069,0.067,0.064,0.049
1,2,0.0,9,7,0.0,0.0,0.0,0,7,795,16,7,16,0.0,0.0,0.0,-0.013
1,3,0.0,11,8,0.154,0.125,0.147,2,11,791,14,13,16,0.147,0.138,0.13,0.123
1,4,0.0,7,5,0.0,0.0,0.0,0,8,794,16,8,16,0.0,0.0,0.0,-0.014
1,5,0.0,8,6,0.182,0.133,0.169,2,9,793,13,11,15,0.169,0.154,0.141,0.142
1,6,0.0,8,6,0.167,0.133,0.159,2,10,792,13,12,15,0.159,0.148,0.139,0.135
1,7,0.0,11,8,0.091,0.125,0.096,2,20,781,14,22,16,0.096,0.105,0.116,0.086
1,8,0.0,8,6,0.2,0.188,0.197,3,12,789,13,15,16,0.197,0.194,0.19,0.178
1,9,0.0,8,6,0.077,0.062,0.074,1,12,789,15,13,16,0.074,0.069,0.065,0.053
1,10,0.0,8,6,0.0,0.0,0.0,0,7,794,16,7,16,0.0,0.0,0.0,-0.013
2,1,0.0,7,5,0.143,0.125,0.139,2,12,790,14,14,16,0.139,0.133,0.128,0.117
2,2,0.0,8,6,0.091,0.062,0.083,1,10,792,15,11,16,0.083,0.074,0.067,0.06
2,3,0.0,7,5,0.125,0.062,0.104,1,7,795,15,8,16,0.104,0.083,0.069,0.076
2,4,0.0,6,4,0.15,0.188,0.156,3,17,785,13,20,16,0.156,0.167,0.179,0.149
2,5,0.0,8,6,0.125,0.133,0.127,2,14,788,13,16,15,0.127,0.129,0.132,0.112
2,6,0.0,8,6,0.0,0.0,0.0,0,12,790,15,12,15,0.0,0.0,0.0,-0.017
2,7,0.0,8,6,0.0,0.0,0.0,0,11,790,16,11,16,0.0,0.0,0.0,-0.017
2,8,0.0,8,6,0.25,0.188,0.234,3,9,792,13,12,16,0.234,0.214,0.197,0.203
2,9,0.0,7,5,0.143,0.125,0.139,2,12,789,14,14,16,0.139,0.133,0.128,0.117
