Repeat,Outer_Fold,Best_Exp,Best_n_q,Best_Thr,Precision_Outer,Recall_Outer,F05_Outer,TP,FP,TN,FN,Pred_Pos,Actual_Pos,f05_out_sk,f1_out,f2_out,mcc_out
1,1,0.0,1,1,0.051,0.125,0.058,2,37,765,14,39,16,0.058,0.073,0.097,0.051
1,2,0.0,1,1,0.0,0.0,0.0,0,46,756,16,46,16,0.0,0.0,0.0,-0.034
1,3,0.0,1,1,0.036,0.067,0.039,1,27,775,14,28,15,0.039,0.047,0.057,0.024
1,4,0.0,1,1,0.1,0.2,0.111,3,27,775,12,30,15,0.111,0.133,0.167,0.119
1,5,0.0,1,1,0.029,0.067,0.033,1,33,769,14,34,15,0.033,0.041,0.053,0.017
1,6,0.0,1,1,0.026,0.062,0.03,1,37,764,15,38,16,0.03,0.037,0.049,0.011
1,7,0.0,1,1,0.03,0.062,0.034,1,32,769,15,33,16,0.034,0.041,0.052,0.016
1,8,0.0,1,1,0.114,0.25,0.128,4,31,770,12,35,16,0.128,0.157,0.202,0.145
1,9,0.0,1,1,0.062,0.125,0.069,2,30,771,14,32,16,0.069,0.083,0.104,0.063
1,10,0.0,1,1,0.094,0.188,0.104,3,29,772,13,32,16,0.104,0.125,0.156,0.108
2,1,0.0,1,1,0.053,0.125,0.06,2,36,766,14,38,16,0.06,0.074,0.098,0.053
2,2,0.0,1,1,0.0,0.0,0.0,0,35,767,16,35,16,0.0,0.0,0.0,-0.03
2,3,0.0,1,1,0.077,0.133,0.084,2,24,778,13,26,15,0.084,0.098,0.116,0.079
2,4,0.0,1,1,0.028,0.067,0.031,1,35,767,14,36,15,0.031,0.039,0.052,0.015
2,5,0.0,1,1,0.026,0.067,0.029,1,38,764,14,39,15,0.029,0.037,0.051,0.012
2,6,0.0,1,1,0.074,0.125,0.081,2,25,776,14,27,16,0.081,0.093,0.11,0.073
2,7,0.0,1,1,0.128,0.312,0.145,5,34,767,11,39,16,0.145,0.182,0.243,0.176
2,8,0.0,1,1,0.027,0.062,0.03,1,36,765,15,37,16,0.03,0.038,0.05,0.012
2,9,0.0,1,1,0.048,0.125,0.054,2,40,761,14,42,16,0.054,0.069,0.094,0.047
2,10,0.0,1,1,0.071,0.125,0.078,2,26,775,14,28,16,0.078,0.091,0.109,0.07
3,1,0.0,1,1,0.059,0.125,0.066,2,32,770,14,34,16,0.066,0.08,0.102,0.059
3,2,0.0,1,1,0.057,0.125,0.064,2,33,769,14,35,16,0.064,0.078,0.101,0.057
3,3,0.0,1,1,0.026,0.067,0.03,1,37,765,14,38,15,0.03,0.038,0.051,0.013
3,4,0.0,1,1,0.03,0.067,0.034,1,32,770,14,33,15,0.034,0.042,0.054,0.018
3,5,0.0,1,1,0.081,0.2,0.092,3,34,768,12,37,15,0.092,0.115,0.155,0.102
3,6,0.0,1,1,0.032,0.062,0.036,1,30,771,15,31,16,0.036,0.043,0.053,0.018
3,7,0.0,1,1,0.0,0.0,0.0,0,32,769,16,32,16,0.0,0.0,0.0,-0.029
3,8,0.0,1,1,0.146,0.375,0.167,6,35,766,10,41,16,0.167,0.211,0.286,0.21
3,9,0.0,1,1,0.056,0.125,0.062,2,34,767,14,36,16,0.062,0.077,0.1,0.056
3,10,0.0,1,1,0.0,0.0,0.0,0,30,771,16,30,16,0.0,0.0,0.0,-0.028
4,1,0.0,1,1,0.098,0.25,0.111,4,37,765,12,41,16,0.111,0.14,0.19,0.129
4,2,0.0,1,1,0.022,0.062,0.025,1,45,757,15,46,16,0.025,0.032,0.045,0.004
4,3,0.0,1,1,0.032,0.067,0.036,1,30,772,14,31,15,0.036,0.043,0.055,0.021
4,4,0.0,1,1,0.027,0.067,0.031,1,36,766,14,37,15,0.031,0.038,0.052,0.014
4,5,0.0,1,1,0.062,0.133,0.07,2,30,772,13,32,15,0.07,0.085,0.109,0.066
4,6,0.0,1,1,0.062,0.125,0.069,2,30,771,14,32,16,0.069,0.083,0.104,0.063
4,7,0.0,1,1,0.088,0.188,0.099,3,31,770,13,34,16,0.099,0.12,0.153,0.103
